rt,trans,trial_type,number,letter,choice,correct,too_slow,trial_start,stim_appear,experiment_time
9.12254742498044,1,1,1,A,1,99,1,154308.515638835,154310.62418827,154320.764378154
1.89817600601236,2,2,4,U,1,1,1,154320.774298024,154322.800522888,154325.713891948
1.34545059499214,1,2,2,A,1,1,1,154325.722210465,154327.753207427,154330.115027302
1.31057687700377,1,2,7,R,0,1,1,154330.123365641,154332.156124628,154334.483712441
1.5763156650064,2,1,9,G,0,1,1,154334.49192656,154336.522445705,154339.119447512
3.05255377301364,2,2,2,K,1,1,1,154339.128481024,154341.158176236,154345.222334761
4.00569911499042,3,3,3,M,0,1,1,154345.232632265,154347.261025788,154352.276440314
0.925819263997255,1,3,4,R,0,1,1,154352.284643106,154354.316889096,154356.26259894
2.80053963200771,3,2,2,A,1,1,1,154356.271341829,154358.29958653,154362.114839462
1.06667870798265,1,2,8,M,0,1,1,154362.123487031,154364.15289299,154366.232063814
3.43714946499676,2,1,3,U,0,1,1,154366.240238305,154368.270416,154372.718045855
5.01774401700823,2,2,8,I,0,99,1,154372.726694768,154374.756306832,154380.788817911
2.59476087498479,2,1,1,E,0,1,1,154380.798906511,154382.830561286,154386.441504928
1.16789628600236,1,1,3,I,0,1,1,154386.450111382,154388.480193386,154390.659698247
0.702724834991386,1,1,7,U,0,1,1,154390.667844482,154392.699985338,154394.412520121
1.53647281398298,3,3,4,A,1,1,1,154394.420774357,154396.450774805,154399.000498264
1.50644022598863,1,3,9,R,0,1,1,154399.010369259,154401.035158774,154403.549680899
0.887689408002188,1,3,2,G,0,1,1,154403.55810288,154405.588435046,154407.485408669
2.27244382500066,3,2,1,I,1,1,1,154407.493983055,154409.523348059,154412.805724376
0.982072067010449,3,3,3,G,0,1,1,154412.816563976,154414.842654587,154416.840004733
0.788317563012242,1,3,4,I,0,0,1,154416.848270037,154418.877688808,154420.675268629
1.7879411180038,3,1,1,I,1,0,1,154420.683578436,154422.713605405,154425.511690042
0.826133451017085,3,3,6,K,0,1,1,154425.523204688,154427.54926717,154429.39587335
0.821649495017482,1,3,1,M,0,1,1,154429.407646593,154431.437651263,154433.28102067
0.982754578988533,1,3,9,U,1,1,1,154433.28966689,154435.31785023,154437.316371587
1.80977365502622,3,2,7,E,0,1,1,154437.326094061,154439.350471325,154442.185026412
1.92984432700905,1,2,9,A,0,1,1,154442.195651386,154444.224024973,154447.170852213
1.60872982101864,1,2,7,U,0,1,1,154447.179500583,154449.209161193,154451.839752083
1.95437069400214,2,1,1,K,1,0,1,154451.848154674,154453.878552711,154456.84551872
1.31115562998457,3,3,7,G,0,1,1,154456.853787912,154458.880757095,154461.21028884
0.862521724018734,1,3,6,K,0,1,1,154461.218404254,154463.249861648,154465.129549022
1.37696990100085,3,2,7,R,0,1,1,154465.138242527,154467.16853943,154469.564762894
1.50598860598984,1,2,1,G,1,1,1,154469.573435398,154471.603369533,154474.13368588
1.20625880299485,1,2,8,R,0,1,1,154474.142132915,154476.172220476,154478.402343948
2.56483015199774,2,1,2,U,0,0,1,154478.410663607,154480.441425916,154484.020884174
0.970822108996799,3,3,4,M,0,1,1,154484.029396646,154486.059755937,154488.039399755
1.90829118597321,3,1,1,R,0,1,1,154488.047674024,154490.078508205,154493.009289065
1.1614409419999,3,3,4,A,1,1,1,154493.017930793,154495.047771336,154497.227386299
2.43305271299323,3,1,6,I,1,1,1,154497.235710267,154499.267742584,154502.714906099
1.57895377499517,2,2,9,U,0,1,1,154502.726326957,154504.75371709,154507.349309678
2.31536607298767,2,1,2,I,0,0,1,154507.357589341,154509.387441355,154512.717889263
1.10806366399629,2,2,3,R,1,1,1,154512.726103446,154514.75686443,154516.886829349
0.90831621401594,2,1,4,M,1,1,1,154516.895295345,154518.924223333,154520.855654439
1.55054839199875,3,3,2,E,1,1,1,154520.864180423,154522.893946588,154525.474829163
2.77591538699926,3,2,4,I,1,1,1,154525.487457634,154527.513046036,154531.311401977
1.0833698050119,3,3,7,M,0,1,1,154531.32016867,154533.349142342,154535.445236473
3.4229171909974,3,1,6,A,1,1,1,154535.454009558,154537.484651998,154541.917335617
0.737750633008545,3,3,9,M,0,1,1,154541.925804047,154543.953786803,154545.700943818
0.835390991007444,3,1,1,E,1,0,1,154545.709238461,154547.738717218,154549.588921787
0.834577655012254,3,3,7,A,0,0,1,154549.597407164,154551.624275724,154553.471608221
1.61932461400284,1,3,8,E,1,1,1,154553.479859499,154555.509109174,154558.141808007
0.843271569989156,1,3,4,M,0,1,1,154558.151053413,154560.179273591,154562.042035095
1.01153572901967,1,3,9,E,1,1,1,154562.05272691,154564.080845189,154566.109892902
2.15945960799581,3,1,7,I,0,1,1,154566.118533455,154568.148289141,154571.330015249
0.906738991994644,3,3,4,R,0,1,1,154571.338548488,154573.368042006,154575.298786892
0.991145401989343,1,3,3,K,0,1,1,154575.30722312,154577.33681651,154579.350664536
1.74282656100695,3,1,9,E,1,0,1,154579.359308371,154581.389094658,154584.151680456
0.684386945009464,1,1,4,K,0,0,1,154584.160069229,154586.191181463,154587.887906484
1.17545217098086,3,3,7,R,0,1,1,154587.896340645,154589.925640994,154592.123062018
0.940151925984537,1,3,9,U,1,1,1,154592.13146529,154594.161417485,154596.125843142
2.09004230101709,3,1,8,E,1,1,1,154596.13431036,154598.164934629,154601.276549766
0.74625746300444,1,1,7,A,1,0,1,154601.290412194,154603.316032098,154605.078300884
2.76114341799985,2,2,1,U,1,1,1,154605.090117513,154607.117079201,154610.898576219
1.64534315298079,3,3,8,E,1,1,1,154610.906860089,154612.936987763,154615.600232055
2.40927231599926,3,2,7,M,0,1,1,154615.609074169,154617.638415529,154621.069419699
1.76198238600045,2,1,1,I,0,1,1,154621.078124507,154623.109060048,154625.888420249
1.05859736900311,3,3,2,M,0,1,1,154625.896615987,154627.926618049,154630.007744023
1.11374725398491,3,2,4,R,1,1,1,154630.016053517,154632.047526907,154634.179716288
1.10215849301312,1,2,6,A,0,1,1,154634.188365423,154636.214349327,154638.327036401
1.37012214600691,3,3,1,E,1,1,1,154638.335833828,154640.366067198,154642.747330269
1.23889547699946,3,2,8,U,0,1,1,154642.756311395,154644.785604532,154647.048892167
0.986140107997926,3,3,6,M,0,1,1,154647.057350476,154649.088478105,154651.085654267
1.7219644600118,3,1,8,R,1,1,1,154651.094288771,154653.124241628,154655.869930538
1.70596118300455,1,1,1,M,0,1,1,154655.878561622,154657.907414746,154660.621258589
0.971622854995076,2,2,4,U,1,1,1,154660.629950195,154662.65970453,154664.644556897
1.16050128798815,1,2,1,I,1,1,1,154664.653284388,154666.678866178,154668.859080315
0.766189654998016,1,2,6,E,0,1,1,154668.867866752,154670.897408716,154672.677725571
2.1555256510037,2,1,7,G,0,1,1,154672.686091268,154674.71481581,154677.880324879
0.920434802013915,3,3,8,M,0,1,1,154677.889196693,154679.917994391,154681.848560468
1.1630126190139,1,3,4,G,0,1,1,154681.858659513,154683.886495978,154686.067286914
1.29045387002407,3,2,6,E,0,1,1,154686.075609365,154688.106282676,154690.418682083
1.6444718069979,1,2,4,M,1,1,1,154690.427538451,154692.459603705,154695.121422956
0.916846906999126,1,2,2,G,1,1,1,154695.129873278,154697.16088437,154699.092074433
1.35812941900804,2,1,1,M,0,1,1,154699.100503967,154701.128858671,154703.508603513
1.34825825100415,1,1,8,R,1,1,1,154703.517092465,154705.547023609,154707.91195121
1.27711781198741,2,2,1,K,1,1,1,154707.920393809,154709.949438589,154712.246622451
0.774341648007976,1,2,9,I,0,1,1,154712.25519632,154714.284376462,154716.0822401
0.966285083995899,3,3,2,M,0,1,1,154716.090743478,154718.119936336,154720.100385148
0.998846645001322,3,2,8,K,0,1,1,154720.108958668,154722.137720848,154724.151557235
