rt,trans,trial_type,number,letter,choice,correct,too_slow,trial_start,stim_appear,experiment_time
2.33474563900018,1,1,1,A,0,1,0,2688.400625595,2694.578282648,2697.928752769
1.27993600399986,2,2,4,U,1,1,0,2697.938394243,2699.97264849,2702.26652231
0.794211186999746,1,2,2,A,1,1,0,2702.274980132,2704.308269216,2706.116955603
1.06733872900031,1,2,7,R,0,1,0,2706.126292787,2708.157964314,2710.234841324
13.2914312490002,2,1,9,G,1,99,1,2710.242812082,2712.275252684,2726.580670864
1.23452621199976,2,2,2,K,1,1,1,2726.589992115,2728.612369587,2730.860966421
15.2553162380004,3,3,3,M,0,99,1,2730.869069302,2732.901833226,2749.169484265
7.58948792000001,1,3,4,R,0,99,1,2749.177488797,2751.209939244,2759.807298506
0.916224659000363,3,2,2,A,1,1,1,2759.817281326,2761.847492819,2763.777962485
1.43150898000022,1,2,8,M,0,1,1,2763.789378136,2765.816917703,2768.262283203
3.65739403899988,2,1,3,U,1,0,1,2768.270659206,2770.301138076,2774.981716376
1.34137431499994,2,2,8,I,0,1,1,2774.989834807,2777.019943148,2779.384078894
1.54443005600024,2,1,1,E,0,1,1,2779.392120515,2781.425687173,2783.986084965
0.988574838999739,1,1,3,I,0,1,1,2783.994011911,2786.027620663,2788.022844078
0.701164523999978,1,1,7,U,0,1,1,2788.032923611,2790.062056554,2791.773178748
1.04615182299995,3,3,4,A,0,0,1,2791.781375921,2793.814352904,2795.874334296
3.80574721899984,1,3,9,R,0,1,1,2795.882363665,2797.914633074,2802.728070547
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,A,NaN,NaN,NaN,NaN,NaN,NaN
